"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 22:51:07 GMT 2023","Tue Aug 01 22:51:08 GMT 2023","562","","test_api_login","TestRegister","","","test_user_register_empty_fields[name]",""
"passed","Tue Aug 01 22:51:08 GMT 2023","Tue Aug 01 22:51:09 GMT 2023","550","","test_api_login","TestRegister","","","test_user_register_empty_fields[email]",""
"passed","Tue Aug 01 22:51:08 GMT 2023","Tue Aug 01 22:51:08 GMT 2023","562","","test_api_login","TestRegister","","","test_user_register_empty_fields[lastName]",""
"passed","Tue Aug 01 22:51:49 GMT 2023","Tue Aug 01 22:51:50 GMT 2023","364","","test_login_ui","TestLoginPopUp","","","test_password_empty_n4_1","Verifying that when the password field is left empty and the form is submitted, an error message appears stating 'Password required'"
"passed","Tue Aug 01 22:51:50 GMT 2023","Tue Aug 01 22:51:52 GMT 2023","1030","","test_login_ui","TestLoginPopUp","","","test_wrong_password_login_n4_2","Verifying that when an incorrect password is entered for a valid email and the form is submitted, an error message appears stating 'Wrong email or password.'"
"passed","Tue Aug 01 22:51:12 GMT 2023","Tue Aug 01 22:51:13 GMT 2023","546","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttttttttttttt]",""
"failed","Tue Aug 01 22:51:13 GMT 2023","Tue Aug 01 22:51:13 GMT 2023","546","","test_api_login","TestRegister","","","test_user_register_wrong_password[tttttttttt]","Run: 

< FAILED test_api_login.py:TestRegister::test_user_register_wrong_password[tttttttttt] - AssertionError: assert 'Passwords do not match' == 'Password has... small letter' > 

Note: 

Is expected to be failed coz API has bug in the password field validator"
"passed","Tue Aug 01 22:51:09 GMT 2023","Tue Aug 01 22:51:09 GMT 2023","537","","test_api_login","TestRegister","","","test_user_register_empty_fields[password]",""
"passed","Tue Aug 01 22:51:11 GMT 2023","Tue Aug 01 22:51:11 GMT 2023","549","","test_api_login","TestRegister","","","test_user_register_wrong_password[test]",""
"passed","Tue Aug 01 22:51:05 GMT 2023","Tue Aug 01 22:51:07 GMT 2023","1724","","test_api_login","TestRegister","","","test_user_register",""
"passed","Tue Aug 01 22:51:16 GMT 2023","Tue Aug 01 22:51:17 GMT 2023","802","","test_api_login","TestAuth","","","test_user_login",""
"passed","Tue Aug 01 22:51:13 GMT 2023","Tue Aug 01 22:51:14 GMT 2023","534","","test_api_login","TestRegister","","","test_user_register_passwords_do_not_match",""
"passed","Tue Aug 01 22:51:10 GMT 2023","Tue Aug 01 22:51:11 GMT 2023","540","","test_api_login","TestRegister","","","test_user_register_wrong_lastname",""
"passed","Tue Aug 01 22:51:48 GMT 2023","Tue Aug 01 22:51:48 GMT 2023","814","","test_login_ui","TestLoginPopUp","","","test_email_field_visual_representation_n3_4","Verifying that when an error occurs, the email field's border color turns red, and the associated labels also turn red."
"passed","Tue Aug 01 22:52:01 GMT 2023","Tue Aug 01 22:52:02 GMT 2023","1106","","test_login_ui","TestLoginPopUp","","","test_login_p1_1","check for successful login with valid credentials"
"passed","Tue Aug 01 22:51:44 GMT 2023","Tue Aug 01 22:51:44 GMT 2023","331","","test_login_ui","TestLoginPopUp","","","test_email_empty_n3_1","Verifying, that when the email field is left empty and the form is submitted, an error message stating 'Email required' should appear"
"passed","Tue Aug 01 22:51:09 GMT 2023","Tue Aug 01 22:51:10 GMT 2023","536","","test_api_login","TestRegister","","","test_user_register_empty_fields[repeatPassword]",""
"passed","Tue Aug 01 22:51:37 GMT 2023","Tue Aug 01 22:51:43 GMT 2023","5694","","test_login_ui","TestLoginPopUp","","","test_login_close_button_n2_1","Verifying, that clicking on the cross button ensures that the login pop up is closed."
"passed","Tue Aug 01 22:51:18 GMT 2023","Tue Aug 01 22:51:19 GMT 2023","723","","test_api_login","TestAuth","","","test_user_login_wrong_email",""
"passed","Tue Aug 01 22:51:32 GMT 2023","Tue Aug 01 22:51:34 GMT 2023","1795","","test_cars_api_and_ui","TestCarsUI","","","test_auto_modify","Modify Car via UI and then verify it updated via API"
